numerical,demographics,clinical_group,clinical_te,diagnosis_group,diagnosis_te,medication_group,medication,other
0.74927217,0.017218178,-0.24956402,-0.2606379,-0.0024838117,0.27457455,0.003904344,0.06407045,0.07726824
-0.5020544,-0.024953114,0.093968615,0.19917774,-0.14821573,-0.069053434,-0.06582745,-0.008097116,0.06971166
-0.24274604,0.055199508,-0.084993735,0.17420457,-0.14887711,0.18564121,-0.050954066,0.015784005,0.07669878
-0.34137255,-0.10551643,-0.18282667,-0.13198265,-0.019240135,0.19671825,0.03776899,0.07149593,0.046196304
-0.8031498,-0.11172808,0.13996896,0.11423313,0.0760925,-0.45825037,-0.054266382,-0.004487165,0.038645484
-0.43864682,-0.21580057,0.09200703,0.18536024,0.052424148,-0.1883944,-0.050135158,0.01511052,0.055780225
-0.24353778,-0.035673797,-0.015549343,-0.234249,0.03614652,0.096632555,0.081286766,0.16773723,0.06856489
0.42823568,0.04475592,0.018169897,-0.25736344,-0.08298414,0.110619105,0.003725546,0.03883153,0.088813
-0.57234174,-0.024035852,0.029120777,-0.1459283,0.058862023,-0.40947634,0.005081933,0.04193291,0.052762322
-0.383554,-0.036563598,0.080752976,0.17947727,0.06765512,0.039297525,0.033152234,0.088022,0.06952256
-0.21048966,-0.05863142,0.10922235,0.24717446,0.04302867,0.064098366,0.00861189,0.08533372,0.07522071
-0.4135122,-0.050200194,0.16223547,0.20502155,-0.07006191,-0.04386001,-0.06245839,0.0048599243,0.08039083
-0.30750835,-0.093385205,-0.0002993308,0.13689435,0.0419185,0.14647043,0.0037372313,0.022082476,0.05722612
-0.282355,-0.025908548,0.071744375,0.19562884,-0.03816334,0.29688862,-0.00223999,0.029168589,0.034339048
-0.14637512,-0.029511662,0.1253137,0.14237837,0.049969792,0.2925285,0.0166047,0.057889786,0.081645526
-0.38099596,-0.07318623,0.08572805,0.13336164,0.052616738,0.352082,-0.0028615445,0.045587584,0.062430386
-0.29105693,0.094624445,0.02790603,-0.22181194,-0.03689778,0.015496112,0.0035626283,0.075506434,0.07293919
-0.5393272,0.07516044,0.075502686,0.22469977,0.015259907,0.364047,-0.053651564,0.0128463395,0.054893408
-0.39624086,-0.060725737,-0.23895305,-0.38291398,0.006252463,0.13551575,0.0037425999,0.038642816,0.037201747
-0.40743944,-0.016510999,0.06054736,0.16262634,-0.07136538,0.24504475,-0.056611225,0.0036232541,0.040893063
-0.28223258,-0.043511316,0.04459157,0.07837405,-0.054201987,0.19327602,-0.015746685,0.018972874,0.05535744
-0.485171,0.021942943,-0.043858457,-0.3611238,0.05068543,-0.2071164,0.021894991,0.09417653,0.04536739
-0.65881026,0.010208312,-0.076472044,0.28266013,0.035415515,-0.28699622,0.009048134,0.011113063,0.053231575
-0.5513278,-0.013825893,0.012266293,-0.17139119,-0.004344819,0.3081324,-0.0005012206,0.050271783,0.05716175
-0.50065273,-0.07740935,-0.01998078,-0.21244574,-0.028176658,0.12748963,0.060147524,0.08565033,0.092105955
-0.49087662,-0.087162524,0.024925806,-0.14216703,0.06225405,-0.31630343,-0.05000191,0.0003031218,0.05912186
-0.19590735,0.09899989,0.1575941,0.16395774,-0.034081712,-0.29905623,0.015586722,0.01992527,0.088308364
-0.40140617,0.12792304,0.10355542,0.13172764,0.07224701,0.15029159,-0.008751631,0.037039284,0.087474
-0.43980283,-0.01198167,0.011211015,-0.169019,-0.00037765596,-0.21098204,0.0009960411,0.036305662,0.061075736
-0.67872393,-0.06686477,0.096917145,0.10452081,0.07948826,-0.15381384,0.008556963,0.058346782,0.076418355
0.27619198,0.06273671,0.07279653,0.12971357,0.0403018,0.04210782,0.027661618,0.10185078,0.08364245
-0.485623,-0.057008423,0.05239202,-0.23677987,0.022062875,0.06863466,0.017293759,0.036737353,0.0772124
-0.1710942,0.0366015,0.065106735,0.09134559,0.17503539,0.3244542,0.022591166,0.0418758,0.06200039
-0.32034624,-0.0493861,0.06731285,0.055728205,0.047886252,-0.1724159,0.029240586,0.09170393,0.05611146
