feature,value,recall,precision,accuracy,roc_auc,prauc,f1,f2,tp,tn,fp,fn,size
admission_type_id,Elective_Planned,0.43027098479841375,0.6345029239766082,0.6614668856048166,0.7091864281937054,0.6339263037311111,0.512800315084679,0.4598756710935292,0.1781609195402299,0.48330596606458676,0.10262725779967159,0.23590585659551178,3654
admission_type_id,Emergency_Acute,0.5786615791018491,0.6437551020408163,0.6442801830341429,0.6986311321049562,0.67677847331406,0.6094752299250329,0.5906054342290524,0.2775783174938402,0.3667018655403027,0.15360788454769447,0.2021119324181626,14205
admission_type_id,Other_LowVolume,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,2
admission_type_id,Unknown,0.6318840579710145,0.6566265060240963,0.6399402390438247,0.6978337826633104,0.7008876763086931,0.6440177252584933,0.6366822429906542,0.3256972111553785,0.3142430278884462,0.17031872509960158,0.1897410358565737,2008
discharge_disposition_id,Home,0.5641799626275693,0.652643831060858,0.6545466810577442,0.7146066909882913,0.6835309856749343,0.6051962069231362,0.5799007150877608,0.2647733405288721,0.3897733405288721,0.1409201295196978,0.20453318942255802,14824
discharge_disposition_id,Transferred_Facility,0.5672634271099745,0.6188616071428571,0.6151522778756607,0.6519588410190638,0.6396274680748865,0.5919402188417401,0.576883062838119,0.27913415554996224,0.33601812232569844,0.17191039516737983,0.21293732695695947,3973
discharge_disposition_id,Unknown,0.4745011086474501,0.6275659824046921,0.6604477611940298,0.7031609841790118,0.6321723836849513,0.5404040404040404,0.4988344988344988,0.19962686567164178,0.4608208955223881,0.11847014925373134,0.22108208955223882,1072
admission_source_id,Emergency_Room,0.6125396266290948,0.650945161894067,0.6363717684944986,0.6898861419349351,0.6939801684512893,0.6311586970329371,0.6198538584922474,0.3111190625279542,0.32525270596654443,0.16683066463905538,0.196797566866446,11179
admission_source_id,Referral,0.48092485549132946,0.6258776328986961,0.6531897265948633,0.703617085629789,0.6341544763119229,0.5439093484419264,0.5042831743979311,0.20679370339685169,0.4463960231980116,0.1236122618061309,0.2231980115990058,6035
admission_source_id,Transfer_From_Facility,0.22355769230769232,0.6326530612244898,0.7045454545454546,0.6877347942754919,0.5200185549015002,0.33037300177619894,0.2567642186637217,0.07288401253918496,0.6316614420062696,0.04231974921630094,0.25313479623824453,1276
admission_source_id,Unknown,0.6364985163204748,0.6470588235294118,0.6526468455402465,0.7164193867457961,0.7028261923290722,0.6417352281226627,0.6385829115808276,0.3110949963741842,0.34155184916606235,0.1696881798404641,0.17766497461928935,1379
medical_specialty,Cardiology_Vascular,0.4540636042402827,0.5736607142857143,0.6481351161154116,0.6928667369247618,0.6013066598107235,0.5069033530571992,0.47382005899705015,0.18085855031667838,0.4672765657987333,0.13441238564391272,0.21745249824067558,1421
medical_specialty,Emergency_Acute,0.6419098143236074,0.6393659180977543,0.6326116373477673,0.6944564532438413,0.7132383966493494,0.6406353408338848,0.641399416909621,0.3274695534506089,0.3051420838971583,0.18470906630581868,0.18267929634641408,1478
medical_specialty,Endocrine_Renal_Internal,0.6752577319587629,0.6501240694789082,0.6382113821138211,0.7036008836524301,0.7163979469820034,0.6624525916561315,0.670076726342711,0.35501355013550134,0.28319783197831977,0.1910569105691057,0.17073170731707318,738
medical_specialty,General_Medicine,0.540241448692153,0.6317647058823529,0.6436010182828049,0.6891936703806206,0.6525648522225262,0.5824295010845987,0.5563613758806465,0.2485535755612127,0.3950474427215922,0.14487387178893774,0.21152510992825735,4321
medical_specialty,Mental_Health,0.39705882352941174,0.5510204081632653,0.6612903225806451,0.6901794616151545,0.579739933714248,0.46153846153846156,0.4205607476635514,0.14516129032258066,0.5161290322580645,0.11827956989247312,0.22043010752688172,186
medical_specialty,OB_GYN,0.09375,0.75,0.803921568627451,0.818698347107438,0.5493654203688327,0.16666666666666666,0.11363636363636363,0.0196078431372549,0.7843137254901961,0.006535947712418301,0.1895424836601307,153
medical_specialty,Orthopedics_Rehab,0.1935483870967742,0.6,0.6762360446570973,0.6645948072383949,0.4779503398257714,0.2926829268292683,0.22388059701492538,0.06698564593301436,0.6092503987240829,0.044657097288676235,0.27910685805422647,627
medical_specialty,Other,0.31666666666666665,0.5757575757575758,0.6381578947368421,0.6903985507246376,0.6355826714722312,0.40860215053763443,0.34798534798534797,0.125,0.5131578947368421,0.09210526315789473,0.26973684210526316,152
medical_specialty,Pediatrics,0.4722222222222222,0.7083333333333334,0.7547169811320755,0.7845238095238096,0.6436544353400842,0.5666666666666667,0.5059523809523809,0.16037735849056603,0.5943396226415094,0.0660377358490566,0.1792452830188679,106
medical_specialty,Radiology_Imaging,0.2891566265060241,0.6,0.6376811594202898,0.6158181111542946,0.5251207890317396,0.3902439024390244,0.3225806451612903,0.11594202898550725,0.5217391304347826,0.07729468599033816,0.28502415458937197,207
medical_specialty,Surgery,0.4889589905362776,0.695067264573991,0.6916890080428955,0.7399719103189135,0.6735222356997987,0.5740740740740741,0.5197853789403085,0.20777479892761394,0.4839142091152815,0.09115281501340483,0.21715817694369974,746
medical_specialty,Unknown,0.5941491553358055,0.6560509554140127,0.6422847750154099,0.6997274936337785,0.6889212036576698,0.6235675675675676,0.6055770199899211,0.2962810766385864,0.3460036983768235,0.15533182658722006,0.20238339839737005,9734
diag_1,Circulatory,0.5861201006832075,0.6257197696737045,0.6382508082354943,0.6898637115829359,0.6609779603584905,0.6052729298180468,0.5936339136135188,0.2773523906755147,0.3608984175599796,0.16590096988259315,0.19584822188191253,5877
diag_1,Diabetes,0.6814159292035398,0.6739606126914661,0.6569086651053864,0.711474430942632,0.7174096713656224,0.6776677667766776,0.6799116997792495,0.36065573770491804,0.2962529274004684,0.17447306791569087,0.1686182669789227,1708
diag_1,Digestive,0.5406593406593406,0.6373056994818653,0.6426011264720942,0.7015508939765891,0.6697453246532001,0.5850178359096314,0.557570262919311,0.2519201228878648,0.3906810035842294,0.14336917562724014,0.21402969790066564,1953
diag_1,Genitourinary,0.5355450236966824,0.6330532212885154,0.6449511400651465,0.6967821899723616,0.6460419172374912,0.5802310654685494,0.5525672371638142,0.24538545059717698,0.3995656894679696,0.14223669923995658,0.21281216069489686,921
diag_1,Injury,0.5321252059308073,0.6037383177570094,0.6309523809523809,0.6764947167710944,0.6392088778603038,0.5656742556917689,0.5450556868039149,0.24032738095238096,0.390625,0.15773809523809523,0.2113095238095238,1344
diag_1,Musculoskeletal,0.3569682151589242,0.73,0.688298918387414,0.727914682795007,0.67157796942076,0.4794745484400657,0.39760348583877997,0.14355948869223206,0.5447394296951819,0.05309734513274336,0.2586037364798427,1017
diag_1,Neoplasms,0.31797235023041476,0.5227272727272727,0.6574675324675324,0.6497811348648118,0.5035170829433825,0.3954154727793696,0.345,0.11201298701298701,0.5454545454545454,0.10227272727272728,0.24025974025974026,616
diag_1,Other,0.4791666666666667,0.6707431796801505,0.6473354231974922,0.7108659325524682,0.6706348455335683,0.5589964719717758,0.5081967213114754,0.22351097178683385,0.42382445141065833,0.109717868338558,0.24294670846394983,3190
diag_1,Respiratory,0.6374228923920493,0.6609808102345416,0.6558330482381115,0.7165984074727432,0.7182208253602655,0.6489881367759944,0.6419991716139721,0.31816626753335614,0.33766678070475536,0.16318850496065687,0.18097844680123162,2923
diag_1,Supplementary,0.6280487804878049,0.639751552795031,0.6222222222222222,0.6879744790825393,0.7150832512374553,0.6338461538461538,0.6303549571603427,0.326984126984127,0.29523809523809524,0.18412698412698414,0.19365079365079366,315
diag_1,Unknown,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.4,0.2,0.4,5
diag_2,Circulatory,0.604720744680851,0.6434382737884683,0.6444983818770227,0.6986237100393067,0.6781738765145753,0.6234790059982862,0.6120869506696278,0.294336569579288,0.35016181229773463,0.16310679611650486,0.19239482200647248,6180
diag_2,Diabetes,0.4977698483496878,0.6541617819460727,0.6718929254302103,0.7155031066878278,0.6673193427653326,0.5653495440729484,0.5227655986509275,0.21338432122370937,0.45850860420650097,0.11281070745697896,0.2152963671128107,2615
diag_2,Digestive,0.4895833333333333,0.6416382252559727,0.6403823178016727,0.6931337380426785,0.6488763194623713,0.5553914327917282,0.5139420448332422,0.22461170848267623,0.4157706093189964,0.12544802867383512,0.23416965352449223,837
diag_2,External_Cause,0.5294117647058824,0.6206896551724138,0.64,0.7037302725968436,0.681931603662209,0.5714285714285714,0.5454545454545454,0.24,0.4,0.14666666666666667,0.21333333333333335,150
diag_2,Genitourinary,0.5345501955671447,0.6278713629402757,0.6252342286071205,0.6886894656373987,0.6576452201871433,0.5774647887323944,0.5509271701155604,0.2560899437851343,0.36914428482198625,0.15178013741411617,0.22298563397876328,1601
diag_2,Injury,0.37894736842105264,0.5950413223140496,0.6484210526315789,0.6732409972299169,0.6022852276391325,0.4630225080385852,0.4086265607264472,0.15157894736842106,0.4968421052631579,0.1031578947368421,0.24842105263157896,475
diag_2,Musculoskeletal,0.55625,0.6496350364963503,0.6657303370786517,0.7191007653061223,0.6598243051990621,0.5993265993265994,0.5727155727155727,0.25,0.4157303370786517,0.1348314606741573,0.199438202247191,356
diag_2,Neoplasms,0.5170731707317073,0.5408163265306123,0.5909090909090909,0.636518933282718,0.5932556109570941,0.5286783042394015,0.5216535433070866,0.22943722943722944,0.36147186147186144,0.19480519480519481,0.21428571428571427,462
diag_2,Other,0.5557035064358633,0.6673773987206824,0.6530002135383302,0.71500094067535,0.6927620655754572,0.6064422378299831,0.5749448934606907,0.2673499893230835,0.38565022421524664,0.13324791800128122,0.21375186846038863,4683
diag_2,Respiratory,0.6185080264400378,0.6371595330739299,0.6370854740775339,0.6846901568982702,0.6820859103886975,0.6276952563488261,0.6221504559270516,0.3059318075665577,0.33115366651097616,0.1742176553012611,0.18869687062120505,2141
diag_2,Supplementary,0.43283582089552236,0.5918367346938775,0.6221498371335505,0.6899749805883876,0.6221536868303438,0.5,0.45741324921135645,0.18892508143322476,0.43322475570032576,0.13029315960912052,0.247557003257329,307
diag_2,Unknown,0.35714285714285715,0.7142857142857143,0.8225806451612904,0.8318452380952381,0.5882588574173898,0.47619047619047616,0.3968253968253968,0.08064516129032258,0.7419354838709677,0.03225806451612903,0.14516129032258066,62
diag_3,Circulatory,0.5862793139656983,0.6371243818942564,0.6411893163111037,0.6908407678135844,0.6667301725289041,0.6106452788917244,0.5957885750871452,0.2813707374433059,0.3598185788677977,0.1602553334453217,0.19855535024357468,5953
diag_3,Diabetes,0.5164690382081687,0.6533333333333333,0.6596626220775378,0.7145226297505344,0.6698357483727517,0.5768947755702722,0.5390539053905391,0.2320213080793134,0.4276413139982243,0.12311334714412549,0.2172240307783368,3379
